id,code,name
co_diagnosis_A064,A064,Absceso Amebiano Del Higado
co_diagnosis_A065,A065,Absceso Amebiano Del Pulmon (J99.8*)
co_diagnosis_A066,A066,Absceso Amebiano Del Cerebro (G07*)
co_diagnosis_A067,A067,Amebiasis Cutanea
co_diagnosis_A068,A068,Infeccion Amebiana De Otras Localizaciones
co_diagnosis_A069,A069,Amebiasis No Especificada
co_diagnosis_A07,A07,Otras Enfermedades Intestinales Debidas A Protoz
co_diagnosis_A070,A070,Balantidiasis
co_diagnosis_A071,A071,Giardiasis (Lambliasis)
co_diagnosis_A072,A072,Criptosporidiosis
co_diagnosis_A073,A073,Isosporiasis
co_diagnosis_A078,A078,Otras Enfermedades Intestinales Especificadas De
co_diagnosis_A079,A079,Enfermedad Intestinal Debida A Protozoarios No
co_diagnosis_A241,A241,Melioidosis Aguda Y Fulminante
co_diagnosis_A08,A08,Infecciones Intestinales Debidas A Virus Y Otros
co_diagnosis_A080,A080,Enteritis Debida A Rotavirus
co_diagnosis_A081,A081,Gastroenteropatia Aguda Debida Al Agente De Norw
co_diagnosis_A082,A082,Enteritis Debida A Adenovirus
co_diagnosis_A083,A083,Otras Enteritis Virales
co_diagnosis_A084,A084,Infeccion Intestinal Viral Sin Otra Especificac
co_diagnosis_A085,A085,Otras Infecciones Intestinales Especificadas
co_diagnosis_A09,A09,Diarrea Y Gastroenteritis De Presunto Origen Inf
co_diagnosis_A15,A15,Tuberculosis Respiratoria Confirmada Bacteriolog
co_diagnosis_A150,A150,Tuberculosis Del Pulmon Confirmada Por Hallazgo
co_diagnosis_A151,A151,Tuberculosis Del Pulmon Confirmada Unicamente P
co_diagnosis_A152,A152,Tuberculosis Del Pulmon Confirmada Histologicam
co_diagnosis_A153,A153,Tuberculosis Del Pulmon Confirmada Por Medios N
co_diagnosis_A154,A154,Tuberculosis De Ganglios Linfaticos Intratoracic
co_diagnosis_A155,A155,Tuberculosis De Laringe Traquea Y Bronquios Co
co_diagnosis_A156,A156,Pleuresia Tuberculosa Confirmada Bacteriologica
co_diagnosis_A157,A157,Tuberculosis Respiratoria Primaria Confirmada B
co_diagnosis_A158,A158,Otras Tuberculosis Respiratorias Confirmadas Ba
co_diagnosis_A159,A159,Tuberculosis Respiratoria No Especificada Confi
co_diagnosis_A16,A16,Tuberculosis Respiratoria No Confirmada Bacteri
co_diagnosis_A160,A160,Tuberculosis Del Pulmon Con Examen Bacteriologi
co_diagnosis_A161,A161,Tuberculosis Del Pulmon Sin Examen Bacteriologi
co_diagnosis_A162,A162,Tuberculosis Del Pulmon Sin Mencion De Confirma
co_diagnosis_A163,A163,Tuberculosis De Ganglios Linfaticos Intratoracic
co_diagnosis_A164,A164,Tuberculosis De Laringe Traquea Y Bronquios Sin
co_diagnosis_A165,A165,Pleuresia Tuberculosa Sin Mencion De Confirmaci
co_diagnosis_A167,A167,Tuberculosis Respiratoria Primaria Sin Mencion
co_diagnosis_A168,A168,Otras Tuberculosis Respiratorias Sin Mencion De
co_diagnosis_A169,A169,Tuberculosis Respiratoria No Especificada Sin M
co_diagnosis_A17,A17,Tuberculosis Del Sistema Nervioso
co_diagnosis_A170,A170,Meningitis Tuberculosa (G01*)
co_diagnosis_A171,A171,Tuberculoma Meningeo (G07*)
co_diagnosis_A178,A178,Otras Tuberculosis Del Sistema Nervioso
co_diagnosis_A179,A179,Tuberculosis Del Sistema Nervioso No Especifica
co_diagnosis_A18,A18,Tuberculosis De Otros Organos
co_diagnosis_A180,A180,Tuberculosis De Huesos Y Articulaciones
co_diagnosis_A181,A181,Tuberculosis Del Aparato Genitourinario
co_diagnosis_A182,A182,Linfadenopatia Periferica Tuberculosa
co_diagnosis_A183,A183,Tuberculosis De Los Intestinos El Peritoneo Y L
co_diagnosis_A184,A184,Tuberculosis De La Piel Y El Tejido Subcutaneo
co_diagnosis_A185,A185,Tuberculosis Del Ojo
co_diagnosis_A186,A186,Tuberculosis Del Oido
co_diagnosis_A187,A187,Tuberculosis De Glandulas Suprarrenales (E35.1*)
co_diagnosis_A188,A188,Tuberculosis De Otros Organos Especificados
co_diagnosis_A19,A19,Tuberculosis Miliar
co_diagnosis_A190,A190,Tuberculosis Miliar Aguda De Un Solo Sitio Espec
co_diagnosis_A191,A191,Tuberculosis Miliar Aguda De Sitios Multiples
co_diagnosis_A192,A192,Tuberculosis Miliar Aguda No Especificada
co_diagnosis_A198,A198,Otras Tuberculosis Miliares
co_diagnosis_A199,A199,Tuberculosis Miliar Sin Otra Especificacion
co_diagnosis_A20,A20,Peste
co_diagnosis_A200,A200,Peste Bubonica
co_diagnosis_A201,A201,Peste Celulocutanea
co_diagnosis_A202,A202,Peste Neumonica
co_diagnosis_A203,A203,Meningitis Por Peste
co_diagnosis_A207,A207,Peste Septicemica
co_diagnosis_A208,A208,Otras Formas De Peste
co_diagnosis_A209,A209,Peste No Especificada
co_diagnosis_A21,A21,Tularemia
co_diagnosis_A210,A210,Tularemia Ulceroglandular
co_diagnosis_A211,A211,Tularemia Oculoglandular
co_diagnosis_A212,A212,Tularemia Pulmonar
co_diagnosis_A213,A213,Tularemia Gastrointestinal
co_diagnosis_A217,A217,Tularemia Generalizada
co_diagnosis_A218,A218,Otras Formas De Tularemia
co_diagnosis_A219,A219,Tularemia No Especificada
co_diagnosis_A22,A22,Carbunco (Antrax)
co_diagnosis_A220,A220,Carbunco Cutaneo
co_diagnosis_A221,A221,Carbunco Pulmonar
co_diagnosis_A222,A222,Carbunco Gastrointestinal
co_diagnosis_A227,A227,Carbunco Septicemico
co_diagnosis_A228,A228,Otras Formas De Carbunco
co_diagnosis_A229,A229,Carbunco No Especificado
co_diagnosis_A23,A23,Brucelosis
co_diagnosis_A230,A230,Brucelosis Debida A Brucella Melitensis
co_diagnosis_A231,A231,Brucelosis Debida A Brucella Abortus
co_diagnosis_A232,A232,Brucelosis Debida A Brucella Suis
co_diagnosis_A233,A233,Brucelosis Debida A Brucella Canis
co_diagnosis_A238,A238,Otras Brucelosis
co_diagnosis_A239,A239,Brucelosis No Especificada
co_diagnosis_A24,A24,Muermo Y Melioidosis
co_diagnosis_A242,A242,Melioidosis Subaguda Y Cronica
co_diagnosis_A243,A243,Otras Melioidosis
co_diagnosis_A244,A244,Melioidosis No Especificada
co_diagnosis_A25,A25,Fiebres Por Mordedura De Rata
co_diagnosis_A250,A250,Espirilosis
co_diagnosis_A251,A251,Estreptobacilosis
co_diagnosis_A259,A259,Fiebre Por Mordedura De Rata No Especificada
co_diagnosis_A26,A26,Erisipeloide
co_diagnosis_A260,A260,Erisipeloide Cutaneo
co_diagnosis_A267,A267,Septicemia Por Erysipelothrix
co_diagnosis_A268,A268,Otras Formas De Erisipeloide
co_diagnosis_A269,A269,Erisipeloide No Especificada
co_diagnosis_A27,A27,Leptospirosis
co_diagnosis_A270,A270,Leptospirosis Icterohemorragica
co_diagnosis_A278,A278,Otras Formas De Leptospirosis
co_diagnosis_A279,A279,Leptospirosis No Especificada
co_diagnosis_A28,A28,Otras Enfermedades Zoonoticas Bacterianas No Cl
co_diagnosis_A280,A280,Pasteurelosis
co_diagnosis_A281,A281,Enfermedad Por Rasguño De Gato
co_diagnosis_A282,A282,Yersiniosis Extraintestinal
co_diagnosis_A288,A288,Otras Enfermedades Zoonoticas Bacterianas Especi
co_diagnosis_A289,A289,Enfermedad Zoonotica Bacteriana Sin Otra Especi
co_diagnosis_A30,A30,Lepra (Enfermedad De Hansen)
co_diagnosis_A300,A300,Lepra Indeterminada
co_diagnosis_A301,A301,Lepra Tuberculoide
co_diagnosis_A302,A302,Lepra Tuberculoide Limitrofe
co_diagnosis_A303,A303,Lepra Limitrofe
co_diagnosis_A304,A304,Lepra Lepromatosa Limitrofe
co_diagnosis_A305,A305,Lepra Lepromatosa
co_diagnosis_A308,A308,Otras Formas De Lepra
co_diagnosis_A309,A309,Lepra No Especificada
co_diagnosis_A31,A31,Infecciones Debidas A Otras Micobacterias
co_diagnosis_A310,A310,Infecciones Por Micobacterias Pulmonares
co_diagnosis_A311,A311,Infeccion Cutanea Por Micobacterias
co_diagnosis_A318,A318,Otras Infecciones Por Micobacterias
co_diagnosis_A319,A319,Infeccion Por Micobacteria No Especificada
co_diagnosis_A32,A32,Listeriosis
co_diagnosis_A320,A320,Listeriosis Cutanea
co_diagnosis_A321,A321,Meningitis Y Meningoencefalitis Listeriana
co_diagnosis_A327,A327,Septicemia Listeriana
co_diagnosis_A328,A328,Otras Formas De Listeriosis
co_diagnosis_A329,A329,Listeriosis No Especificada
co_diagnosis_A33,A33,Tetanos Neonatal
co_diagnosis_A34,A34,Tetanos Obstetrico
co_diagnosis_A35,A35,Otros Tetanos
co_diagnosis_A36,A36,Difteria
co_diagnosis_A360,A360,Difteria Faringea
co_diagnosis_A361,A361,Difteria Nasofaringea
co_diagnosis_A362,A362,Difteria Laringea
co_diagnosis_A363,A363,Difteria Cutanea
co_diagnosis_A368,A368,Otras Difterias
co_diagnosis_A369,A369,Difteria No Especificada
co_diagnosis_A37,A37,Tos Ferina (Tos Convulsiva)
co_diagnosis_A370,A370,Tos Ferina Debida A Bordetella Pertussis
co_diagnosis_A371,A371,Tos Ferina Debida A Bordetella Parapertussis
co_diagnosis_A378,A378,Tos Ferina Debida A Otras Especies De Bordetella
co_diagnosis_A379,A379,Tos Ferina No Especificada
co_diagnosis_A38,A38,Escarlatina
co_diagnosis_A39,A39,Infeccion Meningococica
co_diagnosis_A390,A390,Meningitis Meningococica (G01*)
co_diagnosis_A391,A391,Sindrome De Waterhouse-Friderichsen (E35.1*)
co_diagnosis_A392,A392,Meningococemia Aguda
co_diagnosis_A393,A393,Meningococemia Cronica
co_diagnosis_A394,A394,Meningococemia No Especificada
co_diagnosis_A395,A395,Enfermedad Cardiaca Debida A Meningococo
co_diagnosis_A398,A398,Otras Infecciones Meningococicas
co_diagnosis_A399,A399,Infeccion Meningococica No Especificada
co_diagnosis_A40,A40,Septicemia Estreptococica
co_diagnosis_A400,A400,Septicemia Debida A Estreptococo Grupo A
co_diagnosis_A401,A401,Septicemia Debida A Estreptococo Grupo B
co_diagnosis_A402,A402,Septicemia Debida A Estreptococo Grupo D
co_diagnosis_A403,A403,Septicemia Debida A Streptococcus Pneumoniae
co_diagnosis_A408,A408,Otras Septicemias Estreptococicas
co_diagnosis_A409,A409,Septicemia Estreptococica No Especificada
co_diagnosis_A41,A41,Otras Septicemias
co_diagnosis_A410,A410,Septicemia Debida A Staphylococcus Aureus
co_diagnosis_A411,A411,Septicemia Debida A Otro Estafilococo Especifica
co_diagnosis_A412,A412,Septicemia Debida A Estafilococo No Especificado
co_diagnosis_A413,A413,Septicemia Debida A Haemophilus Influenzae
co_diagnosis_A414,A414,Septicemia Debida A Anaerobios
co_diagnosis_A415,A415,Septicemia Debida A Otros Organismos Gramnegativ
co_diagnosis_A418,A418,Otras Septicemias Especificadas
co_diagnosis_A419,A419,Septicemia No Especificada
co_diagnosis_A42,A42,Actinomicosis
co_diagnosis_A420,A420,Actinomicosis Pulmonar
co_diagnosis_A421,A421,Actinomicosis Abdominal
co_diagnosis_A422,A422,Actinomicosis Cervicofacial
co_diagnosis_A427,A427,Septicemia Actinomicotica
co_diagnosis_A428,A428,Otras Formas De Actinomicosis
co_diagnosis_A429,A429,Actinomicosis Sin Otra Especificacion
co_diagnosis_A43,A43,Nocardiosis
co_diagnosis_A430,A430,Nocardiosis Pulmonar
co_diagnosis_A431,A431,Nocardiosis Cutanea
co_diagnosis_A438,A438,Otras Formas De Nocardiosis
co_diagnosis_A439,A439,Nocardiosis No Especificada
co_diagnosis_A44,A44,Bartonelosis
co_diagnosis_A440,A440,Bartonelosis Sistemica
co_diagnosis_A441,A441,Bartonelosis Cutanea Y Mucocutanea
co_diagnosis_A448,A448,Otras Formas De Bartonelosis
co_diagnosis_A449,A449,Bartonelosis No Especificada
co_diagnosis_A46,A46,Erisipela
co_diagnosis_A48,A48,Otras Enfermedades Bacterianas No Clasificadas
co_diagnosis_A480,A480,Gangrena Gaseosa
co_diagnosis_A481,A481,Enfermedad De Los Legionarios
co_diagnosis_A482,A482,Enfermedad De Los Legionarios No Neumonica (Fieb
co_diagnosis_A483,A483,Sindrome Del Choque Toxico
co_diagnosis_A484,A484,Fiebre Purpurica Brasileña
co_diagnosis_A488,A488,Otras Enfermedades Bacterianas Especificadas
co_diagnosis_A670,A670,Lesiones Primarias De La Pinta
co_diagnosis_A49,A49,Infeccion Bacteriana De Sitio No Especificado
co_diagnosis_A490,A490,Infeccion Estafilococica Sin Otra Especificacio
co_diagnosis_A491,A491,Infeccion Estreptococica Sin Otra Especificacio
co_diagnosis_A492,A492,Infeccion Por Haemophilus Influenzae Sin Otra E
co_diagnosis_A493,A493,Infeccion Por Micoplasma Sin Otra Especificacio
co_diagnosis_A498,A498,Otras Infecciones Bacterianas De Sitio No Especi
co_diagnosis_A499,A499,Infeccion Bacteriana No Especificada
co_diagnosis_A50,A50,Sifilis Congenita
co_diagnosis_A500,A500,Sifilis Congenita Precoz Sintomatica
co_diagnosis_A501,A501,Sifilis Congenita Precoz Latente
co_diagnosis_A502,A502,Sifilis Congenita Precoz Sin Otra Especificacio
co_diagnosis_A503,A503,Oculopatia Sifilitica Congenita Tardia
co_diagnosis_A504,A504,Neurosifilis Congenita Tardia (Neurosifilis Juve
co_diagnosis_A505,A505,Otras Formas De Sifilis Congenita Tardia Sintom
co_diagnosis_A506,A506,Sifilis Congenita Tardia Latente
co_diagnosis_A507,A507,Sifilis Congenita Tardia Sin Otra Especificacio
co_diagnosis_A509,A509,Sifilis Congenita Sin Otra Especificacion
co_diagnosis_A51,A51,Sifilis Precoz
co_diagnosis_A510,A510,Sifilis Genital Primaria
co_diagnosis_A511,A511,Sifilis Primaria Anal
co_diagnosis_A512,A512,Sifilis Primaria En Otros Sitios
co_diagnosis_A513,A513,Sifilis Secundaria De Piel Y Membranas Mucosas
co_diagnosis_A514,A514,Otras Sifilis Secundarias
co_diagnosis_A515,A515,Sifilis Precoz Latente
co_diagnosis_A519,A519,Sifilis Precoz Sin Otra Especificacion
co_diagnosis_A52,A52,Sifilis Tardia
co_diagnosis_A520,A520,Sifilis Cardiovascular
co_diagnosis_A521,A521,Neurosifilis Sintomatica
co_diagnosis_A522,A522,Neurosifilis Asintomatica
co_diagnosis_A523,A523,Neurosifilis No Especificada
co_diagnosis_A527,A527,Otras Sifilis Tardias Sintomaticas
co_diagnosis_A528,A528,Sifilis Tardia Latente
co_diagnosis_A529,A529,Sifilis Tardia No Especificada
co_diagnosis_A53,A53,Otras Sifilis Y Las No Especificadas
co_diagnosis_A530,A530,Sifilis Latente No Especificada Como Precoz O T
co_diagnosis_A539,A539,Sifilis No Especificada
co_diagnosis_A54,A54,Infeccion Gonococica
co_diagnosis_A540,A540,Infeccion Gonococica Del Tracto Genitourinario I
co_diagnosis_A541,A541,Infeccion Gonococica Del Tracto Genitourinario I
co_diagnosis_A542,A542,Pelviperitonitis Gonococica Y Otras Infecciones
co_diagnosis_A543,A543,Infeccion Gonococica Del Ojo
co_diagnosis_A544,A544,Infeccion Gonococica Del Sistema Osteomuscular
co_diagnosis_A545,A545,Faringitis Gonococica
co_diagnosis_A546,A546,Infeccion Gonococica Del Ano Y Del Recto
co_diagnosis_A548,A548,Otras Infecciones Gonococicas
co_diagnosis_A549,A549,Infeccion Gonococica No Especificada
co_diagnosis_A55,A55,Linfogranuloma (Venereo) Por Clamidias
co_diagnosis_A56,A56,Otras Enfermedades De Transmision Sexual Debidas
co_diagnosis_A560,A560,Infeccion Del Tracto Genitourinario Inferior Deb
co_diagnosis_A561,A561,Infeccion Del Pelviperitoneo Y Otros Organos Gen
co_diagnosis_A562,A562,Infecciones Del Tracto Genitourinario Debidas A
co_diagnosis_A563,A563,Infeccion Del Ano Y Del Recto Debida A Clamidias
co_diagnosis_A564,A564,Infeccion De Faringe Debida A Clamidias
co_diagnosis_A568,A568,Infeccion De Transmision Sexual De Otros Sitios
co_diagnosis_A57,A57,Chancro Blando
co_diagnosis_A58,A58,Granuloma Inguinal
co_diagnosis_A59,A59,Tricomoniasis
co_diagnosis_A590,A590,Tricomoniasis Urogenital
co_diagnosis_A598,A598,Tricomoniasis De Otros Sitios
co_diagnosis_A599,A599,Tricomoniasis No Especificada
co_diagnosis_A60,A60,Infeccion Anogenital Debida A Virus Del Herpes (
co_diagnosis_A600,A600,Infeccion De Genitales Y Trayecto Urogenital Deb
co_diagnosis_A601,A601,Infeccion De La Piel Perianal Y Recto Por Virus
co_diagnosis_A609,A609,Infeccion Anogenital Por Virus Del Herpes Simple
co_diagnosis_A63,A63,Otras Enfermedades De Transmision Predominanteme
co_diagnosis_A630,A630,Verrugas (Venereas) Anogenitales
co_diagnosis_A638,A638,Otras Enfermedades De Transmision Predominanteme
co_diagnosis_A64,A64,Enfermedad De Transmision Sexual No Especificada
co_diagnosis_A65,A65,Sifilis No Venerea
co_diagnosis_A66,A66,Frambesia
co_diagnosis_A660,A660,Lesiones Iniciales De Frambesia
co_diagnosis_A661,A661,Lesiones Papilomatosas Multiples Y Frambesia Con
co_diagnosis_A662,A662,Otras Lesiones Precoces De La Piel En La Frambes
co_diagnosis_A663,A663,Hiperqueratosis De Frambesia
co_diagnosis_A664,A664,Goma Y Ulceras De Frambesia
co_diagnosis_A665,A665,Gangosa
co_diagnosis_A666,A666,Lesiones Frambesicas De Los Huesos Y De Las Arti
co_diagnosis_A667,A667,Otras Manifestaciones De Frambesia
co_diagnosis_A668,A668,Frambesia Latente
co_diagnosis_A669,A669,Frambesia No Especificada
co_diagnosis_A67,A67,Pinta (Carate)
co_diagnosis_A671,A671,Lesiones Intermedias De La Pinta
co_diagnosis_A672,A672,Lesiones Tardias De La Pinta
co_diagnosis_A673,A673,Lesiones Mixtas De La Pinta
co_diagnosis_A679,A679,Pinta No Especificada
co_diagnosis_A68,A68,Fiebres Recurrentes
co_diagnosis_A680,A680,Fiebre Recurrente Transmitida Por Piojos
co_diagnosis_A681,A681,Fiebre Recurrente Transmitida Por Garrapatas
co_diagnosis_A689,A689,Fiebre Recurrente No Especificada
co_diagnosis_A69,A69,Otras Infecciones Causadas Por Espiroquetas
co_diagnosis_A690,A690,Estomatitis Ulcerativa Necrotizante
co_diagnosis_A691,A691,Otras Infecciones De Vincent
co_diagnosis_A692,A692,Enfermedad De Lyme
co_diagnosis_A698,A698,Otras Infecciones Especificadas Por Espiroquetas
co_diagnosis_A699,A699,Infeccion Por Espiroqueta No Especificada
co_diagnosis_A70,A70,Infeccion Debida A Chlamydia Psittaci
co_diagnosis_A71,A71,Tracoma
co_diagnosis_A710,A710,Estado Inicial De Tracoma
co_diagnosis_A711,A711,Estado Activo De Tracoma
co_diagnosis_A719,A719,Tracoma No Especificado
co_diagnosis_A74,A74,Otras Enfermedades Causadas Por Clamidias
co_diagnosis_A740,A740,Conjuntivitis Por Clamidias (H13.1*)
co_diagnosis_A748,A748,Otras Enfermedades Por Clamidias
co_diagnosis_A749,A749,Infeccion Por Clamidias No Especificada
co_diagnosis_A75,A75,Tifus
co_diagnosis_A750,A750,Tifus Epidemico Debido A Rickettsia Prowazekii T
co_diagnosis_A751,A751,Tifus Recrudescente (Enfermedad De Brill)
co_diagnosis_A752,A752,Tifus Debido A Rickettsia Typhi
co_diagnosis_A753,A753,Tifus Debido A Rickettsia Tsutsugamushi
co_diagnosis_A759,A759,Tifus No Especificado
co_diagnosis_A77,A77,Fiebre Maculosa (Rickettsiosis Transmitida Por G
co_diagnosis_A770,A770,Fiebre Maculosa Debida A Rickettsia Rickettsii
co_diagnosis_A771,A771,Fiebre Maculosa Debida A Rickettsia Conorii
co_diagnosis_A772,A772,Fiebre Maculosa Debida A Rickettsia Siberica
co_diagnosis_A773,A773,Fiebre Maculosa Debida A Rickettsia Australis
co_diagnosis_A778,A778,Otras Fiebres Maculosas
co_diagnosis_A779,A779,Fiebre Maculosa No Especificada
co_diagnosis_A78,A78,Fiebre Q
co_diagnosis_A79,A79,Otras Rickettsiosis
co_diagnosis_A790,A790,Fiebre De Las Trincheras
co_diagnosis_A791,A791,Rickettsiosis Pustulosa Debida A Rickettsia Akar
co_diagnosis_A798,A798,Otras Rickettsiosis Especificadas
co_diagnosis_A799,A799,Rickettsiosis No Especificada
co_diagnosis_A80,A80,Poliomielitis Aguda
co_diagnosis_A800,A800,Poliomielitis Aguda Paralitica Asociada A Vacun
co_diagnosis_A801,A801,Poliomielitis Aguda Paralitica Debida A Virus Sa
co_diagnosis_A802,A802,Poliomielitis Aguda Paralitica Debida A Virus Sa
co_diagnosis_A803,A803,Otras Poliomielitis Agudas Paraliticas Y Las No
co_diagnosis_A804,A804,Poliomielitis Aguda No Paralitica
co_diagnosis_A809,A809,Poliomielitis Aguda Sin Otra Especificacion
co_diagnosis_A81,A81,Infecciones Del Sistema Nervioso Central Por Vir
co_diagnosis_A810,A810,Enfermedad De Creutzfeldt-Jakob
co_diagnosis_A811,A811,Panencefalitis Esclerosante Subaguda
co_diagnosis_A812,A812,Leucoencefalopatia Multifocal Progresiva
co_diagnosis_A818,A818,Otras Infecciones Del Sistema Nervioso Central P
co_diagnosis_A819,A819,Infecciones Del Sistema Nervioso Central Por Vir
co_diagnosis_A82,A82,Rabia
co_diagnosis_A820,A820,Rabia Selvatica
co_diagnosis_A821,A821,Rabia Urbana
co_diagnosis_A829,A829,Rabia Sin Otra Especificacion
co_diagnosis_A83,A83,Encefalitis Viral Transmitida Por Mosquitos
co_diagnosis_A830,A830,Encefalitis Japonesa
co_diagnosis_A831,A831,Encefalitis Equina Del Oeste
co_diagnosis_A832,A832,Encefalitis Equina Del Este
co_diagnosis_A833,A833,Encefalitis De San Luis
co_diagnosis_A834,A834,Encefalitis Australiana
co_diagnosis_A835,A835,Encefalitis De California
co_diagnosis_A836,A836,Enfermedad Por Virus Rocio
co_diagnosis_A838,A838,Otras Encefalitis Virales Transmitidas Por Mosqu
co_diagnosis_A839,A839,Encefalitis Viral Transmitida Por Mosquitos Sin
co_diagnosis_A84,A84,Encefalitis Viral Transmitida Por Garrapatas
co_diagnosis_A840,A840,Encefalitis Del Lejano Oriente Transmitida Por G
co_diagnosis_A841,A841,Encefalitis Centroeuropea Transmitida Por Garrap
co_diagnosis_A848,A848,Otras Encefalitis Virales Transmitidas Por Garra
co_diagnosis_A849,A849,Encefalitis Viral Transmitida Por Garrapatas Si
co_diagnosis_A85,A85,Otras Encefalitis Virales No Clasificadas En Ot
co_diagnosis_A850,A850,Encefalitis Enteroviral (G05.1*)
co_diagnosis_A851,A851,Encefalitis Por Adenovirus (G05.1*)
co_diagnosis_A852,A852,Encefalitis Viral Transmitida Por Artropodos Si
co_diagnosis_A858,A858,Otras Encefalitis Virales Especificadas
co_diagnosis_A86,A86,Encefalitis Viral No Especificada
co_diagnosis_A87,A87,Meningitis Viral
co_diagnosis_A870,A870,Meningitis Enteroviral (G02.0*)
co_diagnosis_A871,A871,Meningitis Debida A Adenovirus (G02.0*)
co_diagnosis_A872,A872,Coriomeningitis Linfocitica
co_diagnosis_A878,A878,Otras Meningitis Virales
co_diagnosis_A879,A879,Meningitis Viral Sin Otra Especificacion
co_diagnosis_A88,A88,Otras Infecciones Virales Del Sistema Nervioso C
co_diagnosis_A880,A880,Fiebre Exantematica Enteroviral (Exantema De Bos
co_diagnosis_A881,A881,Vertigo Epidemico
co_diagnosis_A888,A888,Otras Infecciones Virales Especificadas Del Sist
co_diagnosis_A89,A89,Infeccion Viral Del Sistema Nervioso Central No
co_diagnosis_A90,A90,Fiebre Del Dengue (Dengue Clasico)
co_diagnosis_A91,A91,Fiebre Del Dengue Hemorragico
co_diagnosis_A92,A92,Otras Fiebres Virales Transmitidas Por Mosquitos
co_diagnosis_A920,A920,Enfermedad Por Virus Chikungunya
co_diagnosis_A921,A921,Fiebre De O'Nyong-Nyong
co_diagnosis_A922,A922,Fiebre Equina Venezolana
co_diagnosis_A923,A923,Fiebre Del Oeste Del Nilo
co_diagnosis_A924,A924,Fiebre Del Valle Del Rift
co_diagnosis_A928,A928,Otras Fiebres Virales Especificadas Transmitidas
co_diagnosis_A929,A929,Fiebre Viral Transmitida Por Mosquito Sin Otra
co_diagnosis_A93,A93,Otras Fiebres Virales Transmitidas Por Artropodo
co_diagnosis_A930,A930,Enfermedad Por Virus De Oropouche
co_diagnosis_A931,A931,Fiebre Transmitida Por Flebotomos
co_diagnosis_A932,A932,Fiebre De Colorado Transmitida Por Garrapatas
co_diagnosis_A938,A938,Otras Fiebres Virales Especificadas Transmitidas
co_diagnosis_A94,A94,Fiebre Viral Transmitida Por Artropodos No Espe
co_diagnosis_A95,A95,Fiebre Amarilla
